Willingness to take vaccine,Gender,Age,Education,Race,Financial Status,State,Census Region
yes,Female,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,Asian,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,Asian,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,25-44,Masters,White,Middle class,Washington,Pacific
no,Female,25-44,Highschool,White,Middle class,Iowa,West North Central
yes,Female,45-60,Graduate,Asian,Middle class,Michigan,East North Central
yes,Female,45-60,Masters,White,Upper middle class,Massachusetts,New England
yes,Female,25-44,Graduate,White,Middle class,Florida,South Atlantic
no,Female,25-44,Masters,White,Upper middle class,Wisconsin,East North Central
yes,Female,45-60,Middle school or less,White,Middle class,Illinois,East North Central
yes,Female,45-60,Graduate,White,Upper middle class,Idaho,Mountain
yes,Female,25-44,Masters,Asian,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,West Virginia,South Atlantic
no,Female,25-44,Middle school or less,White,Lower middle class/poor,New Jersey,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,Wisconsin,East North Central
yes,Female,45-60,Masters,Asian,Upper middle class,Illinois,East North Central
yes,Female,25-44,Masters,White,Upper middle class,Texas,West South Central
yes,Female,45-60,Masters,Other,Upper middle class,Maryland,South Atlantic
yes,Female,25-44,Graduate,Asian,Middle class,Florida,South Atlantic
yes,Male,25-44,Highschool,Asian,Upper middle class,Hawaii,Pacific
yes,Female,45-60,Middle school or less,White,Middle class,Vermont,New England
yes,Female,61-70,Highschool,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,Arkansas,West South Central
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,Asian,Middle class,Illinois,East North Central
yes,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Undergraduate,White,Upper middle class,Florida,South Atlantic
yes,Female,25-44,Graduate,White,Wealthy,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Ohio,East North Central
yes,Female,45-60,Highschool,White,Middle class,Nebraska,West North Central
yes,Female,45-60,Highschool,White,Upper middle class,Kansas,West North Central
yes,Female,25-44,Highschool,White,Upper middle class,Maryland,South Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,Hispanic,Middle class,Illinois,East North Central
yes,Male,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,18-24,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,New Hampshire,New England
yes,Female,45-60,Highschool,White,Upper middle class,Minnesota,West North Central
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Highschool,White,Lower middle class/poor,Texas,West South Central
yes,Female,18-24,Undergraduate,Hispanic,Middle class,Georgia,South Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Highschool,White,Middle class,Michigan,East North Central
yes,Female,61-70,Graduate,White,Middle class,Arkansas,West South Central
no,Male,25-44,Graduate,Asian,Middle class,Michigan,East North Central
yes,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Illinois,East North Central
yes,Female,45-60,Masters,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Middle school or less,White,Middle class,Michigan,East North Central
yes,Female,45-60,Masters,White,Upper middle class,Florida,South Atlantic
no,Female,25-44,Highschool,White,Middle class,North Carolina,South Atlantic
no,Female,45-60,Middle school or less,White,Middle class,Georgia,South Atlantic
no,Female,45-60,Middle school or less,White,Middle class,Texas,West South Central
no,Female,25-44,Undergraduate,White,Middle class,Washington,Pacific
yes,Female,18-24,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,Asian,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Middle class,New Jersey,Mid-Atlantic
no,Female,45-60,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,Asian,Middle class,Utah,Mountain
yes,Female,25-44,Highschool,White,Middle class,New Hampshire,New England
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Graduate,White,Middle class,California,Pacific
yes,Female,25-44,Undergraduate,White,Upper middle class,Montana,Mountain
yes,Female,25-44,Highschool,White,Middle class,Kansas,West North Central
yes,Female,18-24,Highschool,White,Middle class,Massachusetts,New England
yes,Female,25-44,Graduate,White,Middle class,Louisiana,West South Central
no,Female,45-60,Middle school or less,White,Middle class,North Carolina,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,California,Pacific
yes,Female,45-60,Undergraduate,White,Middle class,Montana,Mountain
no,Female,45-60,Middle school or less,White,Middle class,Connecticut,New England
yes,Female,25-44,Graduate,White,Upper middle class,Minnesota,West North Central
yes,Female,25-44,Highschool,White,Lower middle class/poor,Nebraska,West North Central
yes,Female,61-70,Undergraduate,White,Middle class,New Jersey,Mid-Atlantic
yes,Female,25-44,Middle school or less,Hispanic,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Oregon,Pacific
yes,Female,61-70,Graduate,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Colorado,Mountain
yes,Female,25-44,Undergraduate,White,Middle class,Tennessee,East South Central
yes,Female,45-60,Highschool,White,Upper middle class,Washington,Pacific
yes,Female,45-60,Undergraduate,White,Middle class,Maryland,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,New Jersey,Mid-Atlantic
yes,Male,45-60,Masters,White,Upper middle class,Missouri,West North Central
yes,Male,61-70,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,California,Pacific
yes,Female,25-44,Highschool,White,Middle class,North Carolina,South Atlantic
yes,Female,25-44,Masters,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Middle school or less,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Texas,West South Central
yes,Female,61-70,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Masters,Black,Upper middle class,New York,Mid-Atlantic
yes,Male,18-24,Highschool,White,Middle class,Kentucky,East South Central
no,Female,45-60,Middle school or less,White,Upper middle class,Tennessee,East South Central
yes,Female,45-60,Graduate,Asian,Lower middle class/poor,Ohio,East North Central
yes,Female,25-44,Masters,Black,Middle class,Mississippi,East South Central
no,Male,>70,Undergraduate,White,Middle class,Florida,South Atlantic
yes,Female,25-44,Highschool,Hispanic,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Ohio,East North Central
yes,Female,25-44,Graduate,White,Upper middle class,Maryland,South Atlantic
yes,Female,61-70,Graduate,Hispanic,Middle class,California,Pacific
no,Female,25-44,Highschool,White,Middle class,Minnesota,West North Central
yes,Female,25-44,Masters,White,Upper middle class,Texas,West South Central
no,Male,45-60,Middle school or less,White,Middle class,New Jersey,Mid-Atlantic
yes,Female,45-60,Highschool,White,Upper middle class,Tennessee,East South Central
no,Male,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Missouri,West North Central
yes,Female,18-24,Middle school or less,White,Lower middle class/poor,Texas,West South Central
yes,Male,61-70,Graduate,White,Middle class,Missouri,West North Central
yes,Female,45-60,Highschool,White,Middle class,New Hampshire,New England
yes,Female,>70,Undergraduate,Black,Upper middle class,Arkansas,West South Central
yes,Male,61-70,Masters,White,Middle class,Illinois,East North Central
yes,Female,61-70,Middle school or less,White,Lower middle class/poor,Nevada,Mountain
yes,Female,61-70,Masters,Black,Upper middle class,California,Pacific
yes,Female,25-44,Graduate,White,Upper middle class,Michigan,East North Central
yes,Male,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Masters,White,Upper middle class,North Carolina,South Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Massachusetts,New England
yes,Female,>70,Highschool,White,Middle class,Arizona,Mountain
yes,Female,61-70,Undergraduate,Other,Middle class,Missouri,West North Central
yes,Female,>70,Undergraduate,White,Lower middle class/poor,Oregon,Pacific
yes,Female,61-70,Graduate,White,Middle class,California,Pacific
yes,Female,45-60,Graduate,White,Middle class,Oregon,Pacific
yes,Female,>70,Graduate,White,Upper middle class,Oregon,Pacific
yes,Male,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Masters,Hispanic,Upper middle class,New Mexico,Mountain
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Middle school or less,White,Upper middle class,Maryland,South Atlantic
yes,Female,>70,Highschool,White,Upper middle class,Tennessee,East South Central
yes,Female,45-60,Graduate,White,Middle class,New York,Mid-Atlantic
no,Female,45-60,Highschool,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Missouri,West North Central
yes,Female,45-60,Highschool,White,Upper middle class,Virginia,South Atlantic
yes,Male,61-70,Highschool,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,45-60,Undergraduate,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Ohio,East North Central
yes,Female,>70,Graduate,White,Upper middle class,DC,South Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Indiana,East North Central
yes,Female,>70,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Upper middle class,Connecticut,New England
yes,Female,18-24,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Highschool,White,Middle class,Indiana,East North Central
yes,Female,18-24,Highschool,White,Lower middle class/poor,Texas,West South Central
yes,Female,>70,Highschool,White,Middle class,Missouri,West North Central
no,Female,25-44,Undergraduate,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Graduate,White,Middle class,Iowa,West North Central
yes,Female,45-60,Highschool,White,Middle class,Michigan,East North Central
no,Female,45-60,Middle school or less,White,Middle class,South Carolina,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Texas,West South Central
yes,Female,>70,Highschool,White,Middle class,Washington,Pacific
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,Other,Middle class,Utah,Mountain
yes,Female,25-44,Masters,Asian,Upper middle class,Maryland,South Atlantic
yes,Male,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,>70,Masters,White,Middle class,North Carolina,South Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Male,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,18-24,Graduate,Asian,Lower middle class/poor,Michigan,East North Central
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Highschool,Black,Middle class,Florida,South Atlantic
no,Female,45-60,Undergraduate,White,Upper middle class,Texas,West South Central
yes,Female,45-60,Graduate,White,Upper middle class,Tennessee,East South Central
yes,Female,45-60,Middle school or less,White,Upper middle class,Kentucky,East South Central
no,Female,45-60,Middle school or less,Black,Lower middle class/poor,Tennessee,East South Central
yes,Female,45-60,Graduate,White,Upper middle class,Tennessee,East South Central
no,Male,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,18-24,Highschool,White,Upper middle class,Illinois,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Undergraduate,White,Middle class,Missouri,West North Central
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,>70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
no,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Highschool,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,18-24,Highschool,Hispanic,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Texas,West South Central
yes,Female,61-70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,Hispanic,Middle class,Pennsylvania,Mid-Atlantic
no,Female,18-24,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Middle class,Virginia,South Atlantic
no,Female,25-44,Middle school or less,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,25-44,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Middle school or less,White,Lower middle class/poor,Kentucky,East South Central
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Graduate,White,Wealthy,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,>70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Lower middle class/poor,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,Colorado,Mountain
no,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,45-60,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,18-24,Undergraduate,White,Middle class,Nevada,Mountain
yes,Female,>70,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,45-60,Graduate,White,Middle class,Alabama,East South Central
yes,Female,25-44,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,Rhode Island,New England
no,Female,45-60,Highschool,White,Lower middle class/poor,Kentucky,East South Central
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,Indiana,East North Central
yes,Male,25-44,Graduate,White,Middle class,Arizona,Mountain
yes,Female,25-44,Graduate,Other,Middle class,North Carolina,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Virginia,South Atlantic
yes,Female,25-44,Undergraduate,White,Lower middle class/poor,Ohio,East North Central
yes,Male,45-60,Middle school or less,White,Upper middle class,Florida,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Oregon,Pacific
no,Female,45-60,Graduate,White,Middle class,Florida,South Atlantic
yes,Male,25-44,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,DC,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,Kentucky,East South Central
yes,Female,45-60,Undergraduate,White,Upper middle class,Colorado,Mountain
yes,Female,>70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,18-24,Middle school or less,White,Lower middle class/poor,Maine,New England
yes,Male,25-44,Undergraduate,White,Middle class,Oregon,Pacific
yes,Male,25-44,Highschool,White,Upper middle class,Colorado,Mountain
yes,Female,25-44,Masters,Asian,Upper middle class,Texas,West South Central
yes,Female,>70,Undergraduate,White,Upper middle class,Wisconsin,East North Central
yes,Female,18-24,Middle school or less,White,Middle class,South Carolina,South Atlantic
