,healthcare_worker,family_member_covid,family_member_covid_test,fam_mem_covid_dx,fm_mem_covid_hospitalized,covid_follow,covid_information_source___1,covid_information_source___2,covid_information_source___3,covid_information_source___4,covid_information_source___5,covid_information_source___6,covid_information_source___7,covid_information_source___8,covid_information_source___9,covid_information_source___10,confine,job,infection,food,death,hospital_access,covid_state,sd,ld,hw,fm,er,reopening,second_wave,number,state,belief,age,child,smoke,dm,immune,pregnant,hosp_rate,death_rate,incubation,corona,animal,screening,hand_wash,climate,sunlight,nasal_spray,hot_beverages,hand_sanitize,baby_wipes,covid_symptoms___1,covid_symptoms___2,covid_symptoms___3,covid_symptoms___4,covid_symptoms___5,vaccine_pcv_flu,mask_gloves___1,mask_gloves___2,social_distance_feet,isolation,corona_live,spread___1,spread___2,spread___3,spread___4,chloroquin,drug_trial,vaccine_trial,hospital,vent,administration,new_vaccine,new_medication,covid_vaccine,covid_vaccine_cause___1,covid_vaccine_cause___2,covid_vaccine_cause___3,covid_vaccine_cause___4,covid_vaccine_cause___5,flu_shot_y_n,Gender_string,your_age,your_education,your_race,financial_status,Census_region,Vaccine_Launch (PRE_POST)
12,0.0,0.0,,,,3.0,0,1,1,1,1.0,0,1,1,1,0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,0.5,5.0,5.0,5.0,4.0,4.0,2.0,4.0,1,,,,,,1.0,Female,2.0,2.0,White,3.0,Mid-Atlantic,No
13,1.0,0.0,,,,2.0,1,0,0,1,0.0,0,1,1,0,1,2.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,0.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,1,,,,,,1.0,Female,3.0,4.0,White,2.0,East North Central,No
14,0.0,0.0,,,,4.0,1,0,0,1,1.0,0,1,0,0,0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,1,1,1,0,0.0,3.0,3.0,5.0,5.0,,2.0,,1,,,,,,0.0,Female,2.0,4.0,Black,2.0,Mid-Atlantic,No
15,0.0,0.0,,,,2.0,1,0,1,1,1.0,0,0,1,0,0,4.0,1.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,1,,,,,,1.0,Female,3.0,1.0,White,2.0,Mid-Atlantic,No
16,0.0,0.0,,,,5.0,1,1,0,0,1.0,0,1,0,1,0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,4.0,2.0,5.0,5.0,4.0,1.0,3.0,1,,,,,,1.0,Female,3.0,3.0,White,2.0,Mid-Atlantic,No
17,1.0,0.0,,,,2.0,0,0,0,1,1.0,0,1,0,1,0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,0,1,1.0,1.0,1.0,0,1,1,1,0.5,5.0,5.0,5.0,5.0,3.0,2.0,3.0,0,,,,,,1.0,Male,2.0,1.0,White,2.0,Mid-Atlantic,No
18,0.0,1.0,1.0,1.0,0.0,5.0,0,0,0,1,0.0,0,1,1,0,0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1.0,0,1,1.0,1.0,1.0,0,1,1,1,0.5,5.0,4.0,4.0,3.0,2.0,3.0,4.0,0,,,,,,1.0,Female,3.0,3.0,White,2.0,Mid-Atlantic,No
19,1.0,1.0,1.0,1.0,0.0,6.0,1,0,1,1,1.0,0,0,0,0,0,4.0,5.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,0.5,2.0,2.0,4.0,2.0,2.0,3.0,4.0,1,,,,,,1.0,Female,1.0,2.0,White,2.0,South Atlantic,No
20,0.0,1.0,0.0,,,2.0,0,0,0,1,0.0,0,1,0,0,0,1.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,1,1,1,0.5,5.0,5.0,4.0,3.0,1.0,3.0,4.0,1,,,,,,1.0,Female,3.0,3.0,White,2.0,Mid-Atlantic,No
21,0.0,0.0,,,,1.0,1,0,1,1,0.0,0,1,0,0,0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,5.0,4.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0,1,,,,,,1.0,Female,3.0,2.0,White,1.0,Pacific,No
22,0.0,0.0,,,,2.0,1,1,1,1,1.0,0,1,1,1,1,3.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1,,,,,,1.0,Female,1.0,3.0,White,2.0,Mid-Atlantic,No
24,0.0,1.0,0.0,,,7.0,1,1,0,1,0.0,0,1,1,0,0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,5.0,4.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,1,1,1,1,1.0,1,1,0.0,1.0,1.0,1,1,1,1,0.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,1,,,,,,1.0,Female,5.0,4.0,White,2.0,Mid-Atlantic,No
25,0.0,0.0,,,,2.0,0,0,1,1,0.0,0,1,0,0,0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,1,,,,,,0.0,Female,3.0,2.0,White,2.0,Mid-Atlantic,No
26,1.0,0.0,,,,2.0,1,0,0,1,0.0,0,1,0,1,0,5.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1.0,0,1,1.0,1.0,1.0,1,1,1,1,0.0,5.0,5.0,5.0,5.0,1.0,4.0,4.0,0,,,,,,1.0,Male,3.0,2.0,White,1.0,Mid-Atlantic,No
27,1.0,0.0,,,,2.0,1,0,0,1,1.0,0,1,1,0,1,2.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,1,,,,,,1.0,Female,3.0,5.0,White,3.0,Mid-Atlantic,No
28,1.0,0.0,,,,2.0,0,0,0,0,0.0,0,0,0,1,0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,0,1.0,1.0,1.0,0,1,1,1,0.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,0,,,,,,1.0,Female,3.0,2.0,White,2.0,Mid-Atlantic,No
29,1.0,0.0,,,,6.0,1,0,0,0,1.0,0,0,0,1,0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,1.0,5.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,0.5,2.0,3.0,5.0,5.0,2.0,4.0,4.0,1,,,,,,1.0,Female,4.0,3.0,White,2.0,Mid-Atlantic,No
30,0.0,1.0,0.0,,,5.0,1,1,0,1,0.0,0,1,0,0,0,5.0,5.0,,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,1,1,0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,1,,,,,,1.0,Female,2.0,1.0,White,2.0,Mid-Atlantic,No
31,1.0,0.0,,,,1.0,0,0,1,1,0.0,0,1,1,0,1,5.0,2.0,4.0,3.0,4.0,,4.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,1,1,1,1,1.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,1,,,,,,1.0,Female,2.0,4.0,White,4.0,Mid-Atlantic,No
32,0.0,0.0,,,,5.0,1,1,0,0,0.0,0,0,0,0,0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,1.0,,1,1,1,1,1,1.0,1,1,1.0,1.0,0.0,0,1,1,1,1.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,1,,,,,,1.0,Female,4.0,3.0,White,4.0,Mid-Atlantic,No
33,0.0,0.0,,,,5.0,1,0,0,1,0.0,0,1,0,0,0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,1,,,,,,1.0,Female,4.0,3.0,White,3.0,Mid-Atlantic,No
35,1.0,0.0,,,,4.0,0,0,1,1,0.0,0,1,1,1,1,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,0.5,3.0,3.0,5.0,5.0,4.0,3.0,3.0,1,,,,,,1.0,Female,2.0,5.0,White,2.0,Mid-Atlantic,No
36,0.0,0.0,,,,6.0,1,0,0,0,0.0,0,1,1,0,0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,3.0,3.0,5.0,4.0,1.0,3.0,4.0,1,,,,,,1.0,Female,3.0,5.0,White,3.0,Mid-Atlantic,No
37,0.0,0.0,,,,4.0,1,1,0,0,1.0,0,0,0,0,0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,1,,,,,,1.0,Female,5.0,2.0,White,2.0,Mid-Atlantic,No
38,0.0,0.0,,,,6.0,1,0,0,1,0.0,0,1,0,0,0,4.0,2.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,1.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1,,,,,,1.0,Male,4.0,1.0,White,2.0,Mid-Atlantic,No
39,0.0,0.0,,,,4.0,1,1,0,1,1.0,0,1,0,0,0,4.0,1.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,0,1.0,1.0,1.0,0,1,1,1,1.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,1,,,,,,1.0,Female,4.0,4.0,White,3.0,South Atlantic,No
40,0.0,0.0,,,,5.0,0,0,1,1,0.0,0,1,1,0,0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,1,1,0,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,1,,,,,,1.0,Female,2.0,2.0,White,2.0,Mid-Atlantic,No
41,0.0,0.0,,,,5.0,1,1,0,0,0.0,0,0,0,0,0,5.0,1.0,5.0,3.0,1.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,0,1.0,1.0,0.0,1,1,1,1,0.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,1,,,,,,1.0,Female,5.0,2.0,White,2.0,Mid-Atlantic,No
42,0.0,0.0,,,,6.0,1,0,0,1,0.0,0,1,1,0,0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,1,1,1,1,1.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,1,,,,,,1.0,Female,4.0,2.0,White,2.0,Mid-Atlantic,No
43,0.0,0.0,,,,5.0,0,0,0,1,0.0,0,1,0,0,0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0.0,1,1,1.0,1.0,1.0,0,1,1,1,0.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,1,,,,,,1.0,Male,4.0,2.0,White,2.0,Mid-Atlantic,No
45,1.0,1.0,1.0,1.0,0.0,8.0,1,0,0,1,0.0,0,1,0,1,0,4.0,1.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,5.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,1,0.5,3.0,3.0,5.0,5.0,4.0,3.0,4.0,1,,,,,,1.0,Female,3.0,2.0,White,1.0,Mid-Atlantic,No
46,0.0,0.0,,,,2.0,0,0,1,1,0.0,0,1,1,0,0,4.0,3.0,3.0,2.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0,1.0,1,0,1.0,1.0,0.0,1,1,1,0,1.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,1,,,,,,1.0,Female,2.0,4.0,White,3.0,Mid-Atlantic,No
47,0.0,0.0,,,,5.0,1,0,1,1,0.0,0,1,0,1,0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1.0,1,1,1.0,1.0,1.0,0,1,1,0,1.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,1,,,,,,1.0,Female,4.0,4.0,White,3.0,Mid-Atlantic,No
